
 ****** Running generation 0 ****** 


RUN: run status: enemy: 8; fitness: -6.261491684321042; player life: 0; enemy life: 100; time: 524

RUN: run status: enemy: 8; fitness: 83.71859434823592; player life: 3.4000000000005883; enemy life: 0; time: 751

RUN: run status: enemy: 8; fitness: 29.65964069627225; player life: 0; enemy life: 60.0; time: 567

RUN: run status: enemy: 8; fitness: -6.5337888379333435; player life: 0; enemy life: 100; time: 688

RUN: run status: enemy: 8; fitness: 11.479378872441304; player life: 0; enemy life: 80.0; time: 679

RUN: run status: enemy: 8; fitness: -5.87493073085203; player life: 0; enemy life: 100; time: 356

RUN: run status: enemy: 8; fitness: 90.88092391510482; player life: 64.30000000000034; enemy life: 0; time: 257

RUN: run status: enemy: 8; fitness: -5.971261839790462; player life: 0; enemy life: 100; time: 392

RUN: run status: enemy: 8; fitness: 11.628388152768142; player life: 0; enemy life: 80.0; time: 585

RUN: run status: enemy: 8; fitness: -3.7177552789820725; player life: 31.90000000000064; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 29.84514190598358; player life: 0; enemy life: 60.0; time: 471

RUN: run status: enemy: 8; fitness: 30.09463815194543; player life: 0; enemy life: 60.0; time: 367

RUN: run status: enemy: 8; fitness: 48.03129244001463; player life: 0; enemy life: 40.0; time: 391

RUN: run status: enemy: 8; fitness: 12.059828747279568; player life: 0; enemy life: 80.0; time: 380

RUN: run status: enemy: 8; fitness: 47.98384284030165; player life: 0; enemy life: 40.0; time: 410

RUN: run status: enemy: 8; fitness: -5.517755278982077; player life: 13.900000000000599; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 29.47204208237745; player life: 0; enemy life: 60.0; time: 684

RUN: run status: enemy: 8; fitness: 29.840904611508066; player life: 0; enemy life: 60.0; time: 473

RUN: run status: enemy: 8; fitness: 84.01027909447737; player life: 3.4000000000005883; enemy life: 0; time: 561

RUN: run status: enemy: 8; fitness: -6.729824070489475; player life: 0; enemy life: 100; time: 837

RUN: run status: enemy: 8; fitness: 11.552694137458786; player life: 0; enemy life: 80.0; time: 631

RUN: run status: enemy: 8; fitness: 88.36550058692487; player life: 44.500000000000526; enemy life: 0; time: 439

RUN: run status: enemy: 8; fitness: -6.434546518787453; player life: 0; enemy life: 100; time: 623

RUN: run status: enemy: 8; fitness: 84.38107352246654; player life: 9.700000000000589; enemy life: 0; time: 727

RUN: run status: enemy: 8; fitness: 30.02619038813074; player life: 0; enemy life: 60.0; time: 393

RUN: run status: enemy: 8; fitness: -6.013715156042802; player life: 0; enemy life: 100; time: 409

RUN: run status: enemy: 8; fitness: 11.123735388109234; player life: 0; enemy life: 80.0; time: 969

RUN: run status: enemy: 8; fitness: -6.448889394146858; player life: 0; enemy life: 100; time: 632

RUN: run status: enemy: 8; fitness: -6.293419278846481; player life: 0; enemy life: 100; time: 541

RUN: run status: enemy: 8; fitness: 29.7290115681417; player life: 0; enemy life: 60.0; time: 529

RUN: run status: enemy: 8; fitness: 89.88559097964963; player life: 65.50000000000033; enemy life: 0; time: 784

RUN: run status: enemy: 8; fitness: -6.7464121285733745; player life: 0; enemy life: 100; time: 851

RUN: run status: enemy: 8; fitness: 12.086496994361731; player life: 0; enemy life: 80.0; time: 370
Population's average fitness: 23.98960 stdev: 33.39383
Best fitness: 94.83266 - size: (5, 99) - species 1 - id 117
Average adjusted fitness: 0.303
Mean genetic distance 1.381, standard deviation 0.239
Population of 100 members in 1 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1   100     94.8    0.303     0
Total extinctions: 0
Generation time: 97.021 sec (96.590 average)

 ****** Running generation 2 ****** 


RUN: run status: enemy: 8; fitness: 94.8326631855218; player life: 93.10000000000007; enemy life: 0; time: 88

RUN: run status: enemy: 8; fitness: 94.56936470590374; player life: 95.80000000000004; enemy life: 0; time: 150

RUN: run status: enemy: 8; fitness: 93.54014399275049; player life: 85.90000000000013; enemy life: 0; time: 156

RUN: run status: enemy: 8; fitness: 12.033853260876308; player life: 0; enemy life: 80.0; time: 390

RUN: run status: enemy: 8; fitness: 29.95499468596399; player life: 0; enemy life: 60.0; time: 422

RUN: run status: enemy: 8; fitness: 12.028738160209539; player life: 0; enemy life: 80.0; time: 392

RUN: run status: enemy: 8; fitness: -6.393590753950631; player life: 0; enemy life: 100; time: 598

RUN: run status: enemy: 8; fitness: 30.116677611511722; player life: 0; enemy life: 60.0; time: 359

RUN: run status: enemy: 8; fitness: 29.913225273087694; player life: 0; enemy life: 60.0; time: 440

RUN: run status: enemy: 8; fitness: 83.67931661435769; player life: 3.1000000000005885; enemy life: 0; time: 758

RUN: run status: enemy: 8; fitness: 84.07111060585319; player life: 5.200000000000587; enemy life: 0; time: 632

RUN: run status: enemy: 8; fitness: -1.8877552789820893; player life: 50.20000000000047; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 15.542244721017916; player life: 44.500000000000526; enemy life: 80.0; time: 1000

RUN: run status: enemy: 8; fitness: 11.463308402408696; player life: 0; enemy life: 80.0; time: 690

RUN: run status: enemy: 8; fitness: 89.02829940258913; player life: 52.000000000000455; enemy life: 0; time: 479

RUN: run status: enemy: 8; fitness: 12.10284613236326; player life: 0; enemy life: 80.0; time: 364

RUN: run status: enemy: 8; fitness: -5.846438775057725; player life: 0; enemy life: 100; time: 346

RUN: run status: enemy: 8; fitness: 11.552694137458786; player life: 0; enemy life: 80.0; time: 631

RUN: run status: enemy: 8; fitness: 90.22003982910277; player life: 60.10000000000038; enemy life: 0; time: 327

RUN: run status: enemy: 8; fitness: 66.18224472101792; player life: 10.900000000000592; enemy life: 20.0; time: 1000

RUN: run status: enemy: 8; fitness: -6.501289670540389; player life: 0; enemy life: 100; time: 666

RUN: run status: enemy: 8; fitness: -5.916202062607435; player life: 0; enemy life: 100; time: 371

RUN: run status: enemy: 8; fitness: 11.628388152768142; player life: 0; enemy life: 80.0; time: 585

RUN: run status: enemy: 8; fitness: 47.75195712549157; player life: 0; enemy life: 40.0; time: 517

RUN: run status: enemy: 8; fitness: -6.70196036600254; player life: 0; enemy life: 100; time: 814

RUN: run status: enemy: 8; fitness: -5.924255797414532; player life: 0; enemy life: 100; time: 374

RUN: run status: enemy: 8; fitness: 93.66472159231584; player life: 90.40000000000009; enemy life: 0; time: 216

RUN: run status: enemy: 8; fitness: 86.94616755917885; player life: 36.7000000000006; enemy life: 0; time: 832

RUN: run status: enemy: 8; fitness: -6.8977552789820775; player life: 0.10000000000058884; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 11.606409246049369; player life: 0; enemy life: 80.0; time: 598

RUN: run status: enemy: 8; fitness: 29.895206767585016; player life: 0; enemy life: 60.0; time: 448

RUN: run status: enemy: 8; fitness: 29.719604161039804; player life: 0; enemy life: 60.0; time: 534

RUN: run status: enemy: 8; fitness: 47.723356510658355; player life: 0; enemy life: 40.0; time: 532

RUN: run status: enemy: 8; fitness: 86.31672037186037; player life: 26.50000000000063; enemy life: 0; time: 563

RUN: run status: enemy: 8; fitness: 84.32490903049441; player life: 9.700000000000589; enemy life: 0; time: 769

RUN: run status: enemy: 8; fitness: 12.11112204166712; player life: 0; enemy life: 80.0; time: 361

RUN: run status: enemy: 8; fitness: 93.24772657195338; player life: 85.00000000000014; enemy life: 0; time: 191

RUN: run status: enemy: 8; fitness: 11.136196608547046; player life: 0; enemy life: 80.0; time: 957

RUN: run status: enemy: 8; fitness: 12.049357447412273; player life: 0; enemy life: 80.0; time: 384

RUN: run status: enemy: 8; fitness: -0.8677552789820986; player life: 60.400000000000375; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: -4.107755278982074; player life: 28.000000000000632; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 65.40224472101792; player life: 3.1000000000005885; enemy life: 20.0; time: 1000

RUN: run status: enemy: 8; fitness: 12.01606371931281; player life: 0; enemy life: 80.0; time: 397

RUN: run status: enemy: 8; fitness: 11.307916257493371; player life: 0; enemy life: 80.0; time: 806

RUN: run status: enemy: 8; fitness: -5.958424693029782; player life: 0; enemy life: 100; time: 387

RUN: run status: enemy: 8; fitness: 47.50776016497953; player life: 0; enemy life: 40.0; time: 660

RUN: run status: enemy: 8; fitness: -6.289715570908998; player life: 0; enemy life: 100; time: 539

